,Title,Country,Year,Rating,Director
184,Sunrise,USA,1927,8.1,F.W. Murnau 
185,The Truman Show,USA,1998,8.1,Peter Weir 
186,Stalker,Netherlands,1979,8.1,Andrei Tarkovsky 
187,The Grand Budapest Hotel,USA,2014,8.1,Wes Anderson 
188,In the Name of the Father,USA,1993,8.1,Jim Sheridan 
189,Stand by Me,USA,1986,8.1,Rob Reiner 
190,Into the Wild,USA,2007,8.1,Sean Penn 
191,It Happened One Night,USA,1934,8.1,Frank Capra 
192,Platoon,USA,1986,8.1,Oliver Stone 
193,Network,USA,1976,8.1,Sidney Lumet 
194,Memories of Murder,South Korea,2003,8.1,Joon-ho Bong 
195,Monty Python's Life of Brian,USA,1979,8.1,Terry Jones 
196,Ben-Hur,Brazil,1959,8.1,William Wyler 
197,Persona,USA,1966,8.1,Ingmar Bergman 
198,12 Years a Slave,USA,2013,8.1,Steve McQueen 
199,Hotel Rwanda,USA,2004,8.1,Terry George 
200,Million Dollar Baby,USA,2004,8.1,Clint Eastwood 
201,Neon Genesis Evangelion: The End of Evangelion,Germany,1997,8.1,Hideaki Anno 
202,Before Sunrise,USA,1995,8.1,Richard Linklater 
203,The Bandit,Turkey,1996,8.1,Yavuz Turgul 
204,Prisoners,USA,2013,8.1,Denis Villeneuve 
205,Mad Max: Fury Road,USA,2015,8.1,George Miller 
206,The Wages of Fear,USA,1953,8.1,Henri-Georges Clouzot 
207,Rush,USA,2013,8.1,Ron Howard 
208,Hachi: A Dog's Tale,UK,2009,8.1,Lasse Hallström 
209,Andrei Rublev,USA,1966,8.1,Andrei Tarkovsky 
210,The 400 Blows,USA,1959,8.1,François Truffaut 
211,Logan,USA,2017,8.1,James Mangold 
212,The Passion of Joan of Arc,France,1928,8.1,Carl Theodor Dreyer 
213,Spotlight,USA,2015,8.1,Tom McCarthy 
214,Catch Me If You Can,USA,2002,8.1,Steven Spielberg 
215,Amores Perros,USA,2000,8.1,Alejandro G. Iñárritu 
216,Harry Potter and the Deathly Hallows: Part 2,USA,2011,8.1,David Yates 
217,Nausicaä of the Valley of the Wind,USA,1984,8.0,Hayao Miyazaki 
218,The Princess Bride,USA,1987,8.0,Rob Reiner 
219,Rocky,USA,1976,8.0,John G. Avildsen 
220,Barry Lyndon,USA,1975,8.0,Stanley Kubrick 
221,Butch Cassidy and the Sundance Kid,USA,1969,8.0,George Roy Hill 
222,Rang De Basanti,USA,2006,8.0,Rakeysh Omprakash Mehra 
223,"Monsters, Inc",USA,2001,8.0,Pete Docter 
224,The Grapes of Wrath,USA,1940,8.0,John Ford 
225,Dead Poets Society,USA,1989,8.0,Peter Weir 
226,Raise the Red Lantern,Italy,1991,8.0,Yimou Zhang 
227,The Maltese Falcon,USA,1941,8.0,John Huston 
228,The Terminator,USA,1984,8.0,James Cameron 
229,The Handmaiden,South Korea,2016,8.0,Chan-wook Park 
230,Gandhi,USA,1982,8.0,Richard Attenborough 
231,La Haine,USA,1995,8.0,Mathieu Kassovitz 
232,Donnie Darko,USA,2001,8.0,Richard Kelly 
233,In the Mood for Love,USA,2000,8.0,Kar-Wai Wong 
234,Diabolique,USA,1955,8.0,Henri-Georges Clouzot 
235,Groundhog Day,USA,1993,8.0,Harold Ramis 
236,The Help,USA,2011,8.0,Tate Taylor 
237,The Wizard of Oz,USA,1939,8.0,Victor Fleming 
238,Jaws,USA,1975,8.0,Steven Spielberg 
239,Guardians of the Galaxy,USA,2014,8.0,James Gunn 
240,Before Sunset,USA,2004,8.0,Richard Linklater 
241,"Paris, Texas",UK,1984,8.0,Wim Wenders 
242,Castle in the Sky,USA,1986,8.0,Hayao Miyazaki 
243,The Nights of Cabiria,France,1957,8.0,Federico Fellini 
244,Pirates of the Caribbean: The Curse of the Black Pearl,USA,2003,8.0,Gore Verbinski 
245,The Best Years of Our Lives,Mexico,1946,8.0,William Wyler 
246,Beauty and the Beast,USA,1991,8.0,Gary Trousdale 
247,The Exorcist,USA,1973,8.0,William Friedkin 
248,Gangs of Wasseypur,Singapore,2012,8.0,Anurag Kashyap 
249,Munna Bhai MBBS,India,2003,8.0,Rajkumar Hirani 
250,PK,India,2014,8.0,Rajkumar Hirani 
